ProteinIDs,ACY-738_FUS_plusplus1,ACY-738_FUS_plusplus2,ACY-738_FUS_plusplus3,FUSplusplus_vehicle4,FUSplusplus_vehicle5,FUSplusplus_vehicle6,FUSminusminus_vehicle7,FUSminusminus_vehicle8,FUSminusminus_vehicle9
Q9JMC3,27.6282,27.425,27.2778,27.4135,27.096,27.1695,27.1733,26.6992,27.1722
Q9JMD0,25.5105,25.4653,25.1768,26.0807,25.373,25.8732,26.7066,25.5479,25.461
Q9JMD3,26.2716,26.2495,26.0075,26.0097,25.1255,25.7517,26.1626,25.9885,26.1134
Q9JME5,29.7576,29.691,29.7521,29.6491,29.4441,29.4584,29.4573,29.4613,29.5035
Q9JMF7,24.2834,23.5195,23.0787,24.4735,24.6999,24.4239,24.8154,24.6398,24.5183
Q9JMG1,25.9874,25.3677,25.7821,23.9392,25.7067,25.4835,25.7636,25.1064,25.364
Q9JMG7,27.2077,27.7507,27.5061,27.9806,27.8291,27.7283,28.0884,27.6485,27.9134
Q9JMH6,29.4087,29.2573,29.2384,29.2121,29.1097,29.1495,29.4921,29.3511,29.1535
Q9JMH9,29.7777,29.6538,29.6373,29.8946,29.7014,29.6281,29.7583,29.5352,29.7358
Q9QUG9,23.557,23.9877,23.8802,24.3035,24.5141,24.5268,24.6865,23.8829,24.2163
Q9QUH0,30.5256,29.8923,30.0974,30.0889,29.7146,29.8231,29.7587,30.0578,30.2318
Q9QUI0,31.3333,31.4194,31.4367,31.6234,31.4304,31.3197,31.3948,31.2177,31.2112
Q9QUJ7,24.8939,24.9951,25.0315,24.483,24.7055,24.7154,25.4731,25.5604,25.6867
Q9QUM9,30.1538,29.9452,29.9024,29.7335,30.0702,30.0375,30.2831,30.1708,30.2515
Q9QUP5,29.5278,29.2326,29.3573,29.7597,29.211,28.9172,29.3209,29.0911,29.2688
Q9QUR6,30.0172,29.6752,29.7842,29.7354,29.8731,29.8226,29.5086,29.8574,30.0109
Q9QUR7,29.5016,29.4241,29.3977,29.1891,29.1128,29.0838,28.8223,29.0672,29.4004
Q9QUR8,26.1069,25.9573,25.8512,26.2939,26.0419,25.7648,26.2186,25.588,25.8322
Q9QWI6,29.1382,28.6272,28.8159,29.2144,28.871,28.98,28.6798,28.5517,28.7565
Q9QWR8,27.5555,27.3333,27.5296,27.7575,28.018,27.9454,27.8572,28.1209,28.3649
Q9QWY8,27.8891,27.7617,27.8989,27.7331,28.0033,27.7247,27.3253,27.682,27.4846
Q9QXA5,26.2085,25.8732,26.1373,26.1581,26.5628,26.2573,25.9123,25.5598,26.0056
Q9QXB9,26.7391,27.0882,27.0992,27.0986,27.0083,27.5715,27.2273,27.1504,27.5323
Q9QXE0,24.4833,24.3939,24.7343,24.7798,25.003,24.6357,24.4074,24.8594,24.7963
Q9QXG4,29.2385,29.515,29.8065,29.0468,29.2091,28.975,28.5154,28.5894,28.6487
Q9QXJ1,27.0634,26.2905,26.7789,25.489,23.71,26.187,25.6914,24.3612,23.1121
Q9QXK3,26.0802,26.3424,26.4087,26.8781,26.2784,26.6029,26.2414,26.0014,25.9728
