id,ACY-738_FUS_plusplus1,ACY-738_FUS_plusplus2,ACY-738_FUS_plusplus3,FUSplusplus_vehicle4,FUSplusplus_vehicle5,FUSplusplus_vehicle6,FUSminusminus_vehicle7,FUSminusminus_vehicle8,FUSminusminus_vehicle9
ENSMUSG00000032502,2.585343063,2.415730434,2.43799851,2.670469383,2.632798371,2.490376323,2.443833054,2.49365979,2.618718431
ENSMUSG00000020513,2.673372756,1.53587846,2.12778016,1.800415078,2.253768066,1.665077251,2.81381437,2.68162496,2.768290488
ENSMUSG00000046791,2.596021105,2.492972246,2.861342288,2.697669895,2.794537973,2.341188768,2.520578245,2.517002699,2.520038924
ENSMUSG00000026946,2.17306992,1.998558502,2.116412745,2.290214204,2.632696819,2.260653563,2.073092869,1.786431601,1.953085632
ENSMUSG00000039201,2.632038649,2.36215123,2.571057265,2.665447474,2.604075116,2.353466829,2.698547266,2.643962157,2.747648826
ENSMUSG00000028088,2.784426113,2.602843159,2.827099949,2.421766407,2.738964814,2.493099988,2.705585992,2.968165452,3.029437707
ENSMUSG00000008384,2.557407096,2.588132352,2.653789445,2.576687749,2.772501413,2.347667495,1.982847943,1.936678391,1.974756378
ENSMUSG00000021615,2.761357594,2.87903135,2.727033366,2.379596403,2.594884569,2.533103334,2.805412833,2.852921617,2.7613827
ENSMUSG00000098112,2.863584762,2.666390816,2.766223272,2.476536072,2.552546216,2.282444503,2.210698256,2.250802707,2.198591466
ENSMUSG00000022528,2.751552283,2.721404895,2.813231689,2.580051165,2.931965214,2.779649443,2.772131714,2.490748416,2.59386276
ENSMUSG00000034445,2.906615645,2.495676566,2.72842534,2.372204191,2.646070136,2.435172759,2.672637269,2.751595538,2.726216822
ENSMUSG00000038843,2.796315336,2.752790217,2.682627181,2.461986219,2.791718824,2.551105772,1.600051723,1.594877048,1.626260753
ENSMUSG00000029490,2.235763021,1.963425524,2.150748646,2.517918308,2.442688865,2.596135299,1.645781005,1.497473399,1.585426498
ENSMUSG00000041445,2.769477916,2.78422796,2.270546196,1.701559464,2.297969814,1.812837848,2.792382969,2.926724505,2.887534739
ENSMUSG00000085251,1.956612531,2.464967313,1.772645628,2.367563692,2.4098009,2.517439323,1.551369416,1.128804134,1.209556107
ENSMUSG00000047904,2.664237374,2.748408463,2.684246418,2.94013805,2.750063904,2.62374309,2.629042042,2.828482638,2.587309283
ENSMUSG00000030446,2.730965199,2.643799019,2.77838914,2.747988283,2.736136657,2.475995135,2.826900428,2.817943585,2.566813435
ENSMUSG00000022237,1.697689547,2.117805706,1.614367761,2.265596495,2.031604134,2.235145352,1.538539887,1.805190634,1.763202818
ENSMUSG00000022948,2.497501379,2.927095321,2.75462697,2.903388136,2.815283828,2.846293974,2.531185003,2.555536905,2.486537308
ENSMUSG00000085492,2.8647256,2.851563197,2.792886308,2.812722955,2.895737733,2.782131012,2.841421785,2.782537273,2.74668107
ENSMUSG00000015335,2.405476035,2.727830943,2.333249949,2.661242559,2.601732599,2.642255525,2.18146436,2.273111631,2.112390659
ENSMUSG00000008845,0.903254283,0.5134225,1.725281277,2.72377676,2.853260233,2.618453162,1.266390236,1.462643849,1.751995325
ENSMUSG00000078651,2.337907338,2.422735683,2.429628923,2.66797125,2.78541661,2.529416844,2.284267568,2.104370094,2.416773991
ENSMUSG00000024885,2.821464933,2.880518348,2.787557552,2.692428467,2.872199289,2.74623641,2.497673954,2.459056116,2.430364068
ENSMUSG00000033227,1.253400463,0.883869278,1.696940412,2.397467923,2.926127941,2.582492608,1.418902496,1.54744167,1.269113214
ENSMUSG00000038578,2.76935339,2.672387179,2.723709926,2.370850055,2.392194474,2.387240225,2.728029973,2.772066713,2.684354731
ENSMUSG00000029186,2.749142154,2.766842928,2.645910113,2.773704745,2.723878141,2.706884428,2.415016939,2.40343793,2.304458891
